{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0248 0.9156 1.1339
-3.139 -2.964 3 1.2714 1.2281 1.3146
-2.964 -2.853 3 1.7644 1.5610 1.9679
-2.853 -2.650 3 1.7342 1.5217 1.9468
-2.650 -2.500 3 1.3271 1.2415 1.4127
-2.500 -2.322 3 1.1464 1.0443 1.2486
-2.322 -2.043 3 1.0883 1.0482 1.1283
-2.043 -1.930 3 1.0263 0.9549 1.0977
-1.930 -1.740 3 1.0391 0.9683 1.1100
-1.740 -1.305 3 1.1010 1.0437 1.1583
-1.305 -1.131 3 1.0626 1.0107 1.1145
-1.131 -0.783 3 1.0429 1.0072 1.0786
-0.783 -0.522 3 1.1206 1.0687 1.1726
-0.522 -0.000 3 1.0962 1.0255 1.1670
0.000 0.522 3 1.0962 1.0255 1.1670
0.522 0.783 3 1.1206 1.0687 1.1726
0.783 1.131 3 1.0429 1.0072 1.0786
1.131 1.305 3 1.0626 1.0107 1.1145
1.305 1.740 3 1.1010 1.0437 1.1583
1.740 1.930 3 1.0391 0.9683 1.1100
1.930 2.043 3 1.0263 0.9549 1.0977
2.043 2.322 3 1.0883 1.0482 1.1283
2.322 2.500 3 1.1464 1.0443 1.2486
2.500 2.650 3 1.3271 1.2415 1.4127
2.650 2.853 3 1.7342 1.5217 1.9468
2.853 2.964 3 1.7644 1.5610 1.9679
2.964 3.139 3 1.2714 1.2281 1.3146
3.139 5.191 3 1.0248 0.9156 1.1339
