{1 JetEta 0 None ScaleFactor}
-5.191   -3.139   3  1.1255   0.9354   1.3156
-3.139   -2.964   3  1.2725   1.0915   1.4535
-2.964   -2.853   3  1.3718   0.4211   2.3225
-2.853   -2.5  3  1.7778   1.3119   2.2437
-2.5  -2.322   3  1.1818   0.9491   1.4145
-2.322   -2.043   3  1.1401   0.9732   1.307
-2.043   -1.93 3  1.1843   0.9892   1.3794
-1.93 -1.74 3  1.1554   1.0734   1.2374
-1.74 -1.305   3  1.1097   0.9891   1.2303
-1.305   -1.131   3  1.1064   0.9933   1.2195
-1.131   -0.783   3  1.0918   1.0566   1.127
-0.783   -0.522   3  1.1309   1.0699   1.1919
-0.522   0  3  1.1609   1.1057   1.2161
0  0.522 3  1.1609   1.1057   1.2161
0.522 0.783 3  1.1309   1.0699   1.1919
0.783 1.131 3  1.0918   1.0566   1.127
1.131 1.305 3  1.1064   0.9933   1.2195
1.305 1.74  3  1.1097   0.9891   1.2303
1.74  1.93  3  1.1554   1.0734   1.2374
1.93  2.043 3  1.1843   0.9892   1.3794
2.043 2.322 3  1.1401   0.9732   1.307
2.322 2.5   3  1.1818   0.9491   1.4145
2.5   2.853 3  1.7778   1.3119   2.2437
2.853 2.964 3  1.3718   0.4211   2.3225
2.964 3.139 3  1.2725   1.0915   1.4535
3.139 5.191 3  1.1255   0.9354   1.3156
