{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0495 0.8770 1.2220
-3.139 -2.964 3 1.2284 1.1021 1.3548
-2.964 -2.853 3 2.3392 1.9396 2.7387
-2.853 -2.650 3 2.5335 2.2196 2.8473
-2.650 -2.500 3 2.1665 1.7570 2.5760
-2.500 -2.322 3 1.4015 1.2424 1.5605
-2.322 -2.043 3 1.1912 1.0618 1.3206
-2.043 -1.930 3 1.1581 1.0888 1.2274
-1.930 -1.740 3 1.1117 1.0748 1.1486
-1.740 -1.305 3 1.1455 1.0838 1.2072
-1.305 -1.131 3 1.1618 1.1086 1.2150
-1.131 -0.783 3 1.1451 1.0812 1.2089
-0.783 -0.522 3 1.1930 1.1559 1.2302
-0.522 -0.000 3 1.1742 1.1415 1.2069
0.000 0.522 3 1.1742 1.1415 1.2069
0.522 0.783 3 1.1930 1.1559 1.2302
0.783 1.131 3 1.1451 1.0812 1.2089
1.131 1.305 3 1.1618 1.1086 1.2150
1.305 1.740 3 1.1455 1.0838 1.2072
1.740 1.930 3 1.1117 1.0748 1.1486
1.930 2.043 3 1.1581 1.0888 1.2274
2.043 2.322 3 1.1912 1.0618 1.3206
2.322 2.500 3 1.4015 1.2424 1.5605
2.500 2.650 3 2.1665 1.7570 2.5760
2.650 2.853 3 2.5335 2.2196 2.8473
2.853 2.964 3 2.3392 1.9396 2.7387
2.964 3.139 3 1.2284 1.1021 1.3548
3.139 5.191 3 1.0495 0.8770 1.2220
