{ 2 JetEta JetPt 0 None ScaleFactor }
2.853 2.964 50 60 3 1.36478 1.16478 1.56478
2.853 2.964 60 70 3 1.39476 1.19476 1.59476
2.853 2.964 70 80 3 1.4266 1.2266 1.6266
2.853 2.964 80 90 3 1.45945 1.25945 1.65945
2.853 2.964 90 100 3 1.49257 1.29257 1.69257
2.853 2.964 100 110 3 1.52538 1.32538 1.72538
2.853 2.964 110 135 3 1.57921 1.37921 1.77921
2.853 2.964 135 160 3 1.65152 1.45152 1.85152
2.853 2.964 160 185 3 1.71415 1.51415 1.91415
2.853 2.964 185 210 3 1.76715 1.56715 1.96715
2.853 2.964 210 235 3 1.81148 1.61148 2.01148
2.853 2.964 235 260 3 1.84841 1.64841 2.04841
2.853 2.964 260 285 3 1.87917 1.67917 2.07917
2.853 2.964 285 310 3 1.90487 1.70487 2.10487
2.853 2.964 310 335 3 1.92643 1.72643 2.12643
2.853 2.964 335 360 3 1.94462 1.74462 2.14462
2.853 2.964 360 385 3 1.96005 1.76005 2.16005
2.853 2.964 385 410 3 1.97322 1.77322 2.17322
2.853 2.964 410 435 3 1.98452 1.78452 2.18452
2.853 2.964 435 460 3 1.99428 1.79428 2.19428
2.853 2.964 460 485 3 2.00275 1.80275 2.20275
2.853 2.964 485 7000 3 2.08473 1.88473 2.28473
2.964 3.139 0 7000 3 1.2764 1.2158 1.3370
3.139 5.191 0 7000 3 1.0986 0.9834 1.2137
