{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0986 0.9834 1.2137
-3.139 -2.964 3 1.2764 1.2158 1.3370
-2.964 -2.853 3 1.7414 1.5118 1.9709
-2.853 -2.650 3 1.8143 1.5787 2.0499
-2.650 -2.500 3 1.4596 1.3193 1.6000
-2.500 -2.322 3 1.1850 1.1449 1.2251
-2.322 -2.043 3 1.1889 1.0548 1.3231
-2.043 -1.930 3 1.1194 1.0702 1.1685
-1.930 -1.740 3 1.0957 1.0377 1.1536
-1.740 -1.305 3 1.1276 1.0888 1.1665
-1.305 -1.131 3 1.1287 1.0766 1.1807
-1.131 -0.783 3 1.1171 1.0697 1.1644
-0.783 -0.522 3 1.1929 1.1439 1.2418
-0.522 -0.000 3 1.1653 1.1379 1.1926
0.000 0.522 3 1.1653 1.1379 1.1926
0.522 0.783 3 1.1929 1.1439 1.2418
0.783 1.131 3 1.1171 1.0697 1.1644
1.131 1.305 3 1.1287 1.0766 1.1807
1.305 1.740 3 1.1276 1.0888 1.1665
1.740 1.930 3 1.0957 1.0377 1.1536
1.930 2.043 3 1.1194 1.0702 1.1685
2.043 2.322 3 1.1889 1.0548 1.3231
2.322 2.500 3 1.1850 1.1449 1.2251
2.500 2.650 3 1.4596 1.3193 1.6000
2.650 2.853 3 1.8143 1.5787 2.0499
2.853 2.964 3 1.7414 1.5118 1.9709
2.964 3.139 3 1.2764 1.2158 1.3370
3.139 5.191 3 1.0986 0.9834 1.2137
